"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"822","ARPC1B",0.83924378735584,17.5834662989075,8.32733066030912,1.25126455946071e-09,1.4534393257184e-08,11.3796503546286
"1414","PPP2R5D",0.891157204609056,15.9710533253423,8.31106054681315,1.30803781991378e-09,1.49725882493044e-08,11.349858905555
"1304","VPS4B",-0.919396429069012,16.0876888236737,-8.31701133436524,1.28697534802479e-09,1.48033554665486e-08,11.3482568666753
"1369","DYNLRB1",-0.807490665479031,17.2460407915268,-8.28857993170509,1.39082007419233e-09,1.58432547581909e-08,11.257564380058
"1278","HM13",1.13361502324219,16.2472797430252,8.26745314490194,1.47347034494847e-09,1.67040532374446e-08,11.2019004034493
"458","UQCRC2",-0.77311741325082,18.0282126604288,-8.25919287786063,1.50712784250726e-09,1.7003863409723e-08,11.1990103208832
"655","SFXN1",-2.25515552903884,17.1282938233331,-8.24692171220542,1.55857711687494e-09,1.7417653277683e-08,11.1640999550472
"3081","MECP2",-0.821186321494069,15.6083845172516,-8.23973970807258,1.58951374997688e-09,1.76795916153089e-08,11.1580675477951
"467","NME2",-0.928275667345524,18.2399143881924,-8.25135436405139,1.53978950130216e-09,1.72896364003357e-08,11.1496598972731
"43","GANAB",0.580890578880313,19.8233426124721,8.22738295900048,1.64420911481934e-09,1.82020896372958e-08,11.089881289313
"268","USP5",-0.88986348506359,17.5698856700309,-8.17482826248561,1.89905715669614e-09,2.09251251191098e-08,10.940418653066
"1926","DYNLL1",1.05161277154989,14.5231229545061,8.16389860244756,1.95691194307067e-09,2.14623179616774e-08,10.9360939825138
